vendor,device_type,model,nuid,box_type
ZTE,SB,SBX-200,NUID-SB-001492,OTT
Nokia,SB,SB-Pro,NUID-SB-001493,HD
Skyworth,SB,VisionBox,NUID-SB-001494,OTT
Airtel,SB,OTT-Max,NUID-SB-001495,HD
Huawei,SB,SBX-100,NUID-SB-001496,OTT
ZTE,SB,SBX-200,NUID-SB-001497,HD
Nokia,SB,SB-Pro,NUID-SB-001498,OTT
Skyworth,SB,VisionBox,NUID-SB-001499,HD
Airtel,SB,OTT-Max,NUID-SB-001500,OTT
Huawei,SB,SBX-100,NUID-SB-001501,HD
ZTE,SB,SBX-200,NUID-SB-001502,OTT
Nokia,SB,SB-Pro,NUID-SB-001503,HD
Skyworth,SB,VisionBox,NUID-SB-001504,OTT
Airtel,SB,OTT-Max,NUID-SB-001505,HD
Huawei,SB,SBX-100,NUID-SB-001506,OTT
ZTE,SB,SBX-200,NUID-SB-001507,HD
Nokia,SB,SB-Pro,NUID-SB-001508,OTT
Skyworth,SB,VisionBox,NUID-SB-001509,HD
Airtel,SB,OTT-Max,NUID-SB-001510,OTT
Huawei,SB,SBX-100,NUID-SB-001511,HD
ZTE,SB,SBX-200,NUID-SB-001512,OTT
Nokia,SB,SB-Pro,NUID-SB-001513,HD
Skyworth,SB,VisionBox,NUID-SB-001514,OTT
Airtel,SB,OTT-Max,NUID-SB-001515,HD
Huawei,SB,SBX-100,NUID-SB-001516,OTT
ZTE,SB,SBX-200,NUID-SB-001517,HD
Nokia,SB,SB-Pro,NUID-SB-001518,OTT
Skyworth,SB,VisionBox,NUID-SB-001519,HD
Airtel,SB,OTT-Max,NUID-SB-001520,OTT
Huawei,SB,SBX-100,NUID-SB-001521,HD
ZTE,SB,SBX-200,NUID-SB-001522,OTT
Nokia,SB,SB-Pro,NUID-SB-001523,HD
Skyworth,SB,VisionBox,NUID-SB-001524,OTT
Airtel,SB,OTT-Max,NUID-SB-001525,HD
Huawei,SB,SBX-100,NUID-SB-001526,OTT
ZTE,SB,SBX-200,NUID-SB-001527,HD
Nokia,SB,SB-Pro,NUID-SB-001528,OTT
Skyworth,SB,VisionBox,NUID-SB-001529,HD
Airtel,SB,OTT-Max,NUID-SB-001530,OTT
Huawei,SB,SBX-100,NUID-SB-001531,HD
ZTE,SB,SBX-200,NUID-SB-001532,OTT
Nokia,SB,SB-Pro,NUID-SB-001533,HD
Skyworth,SB,VisionBox,NUID-SB-001534,OTT
Airtel,SB,OTT-Max,NUID-SB-001535,HD
Huawei,SB,SBX-100,NUID-SB-001536,OTT
ZTE,SB,SBX-200,NUID-SB-001537,HD
Nokia,SB,SB-Pro,NUID-SB-001538,OTT
Skyworth,SB,VisionBox,NUID-SB-001539,HD
Airtel,SB,OTT-Max,NUID-SB-001540,OTT
Huawei,SB,SBX-100,NUID-SB-001541,HD
ZTE,SB,SBX-200,NUID-SB-001542,OTT
Nokia,SB,SB-Pro,NUID-SB-001543,HD
Skyworth,SB,VisionBox,NUID-SB-001544,OTT
Airtel,SB,OTT-Max,NUID-SB-001545,HD
Huawei,SB,SBX-100,NUID-SB-001546,OTT
ZTE,SB,SBX-200,NUID-SB-001547,HD
Nokia,SB,SB-Pro,NUID-SB-001548,OTT
Skyworth,SB,VisionBox,NUID-SB-001549,HD
Airtel,SB,OTT-Max,NUID-SB-001550,OTT
Huawei,SB,SBX-100,NUID-SB-001551,HD
ZTE,SB,SBX-200,NUID-SB-001552,OTT
Nokia,SB,SB-Pro,NUID-SB-001553,HD
Skyworth,SB,VisionBox,NUID-SB-001554,OTT
Airtel,SB,OTT-Max,NUID-SB-001555,HD
Huawei,SB,SBX-100,NUID-SB-001556,OTT
ZTE,SB,SBX-200,NUID-SB-001557,HD
Nokia,SB,SB-Pro,NUID-SB-001558,OTT
Skyworth,SB,VisionBox,NUID-SB-001559,HD
Airtel,SB,OTT-Max,NUID-SB-001560,OTT
Huawei,SB,SBX-100,NUID-SB-001561,HD
ZTE,SB,SBX-200,NUID-SB-001562,OTT
Nokia,SB,SB-Pro,NUID-SB-001563,HD
Skyworth,SB,VisionBox,NUID-SB-001564,OTT
Airtel,SB,OTT-Max,NUID-SB-001565,HD
Huawei,SB,SBX-100,NUID-SB-001566,OTT
ZTE,SB,SBX-200,NUID-SB-001567,HD
Nokia,SB,SB-Pro,NUID-SB-001568,OTT
Skyworth,SB,VisionBox,NUID-SB-001569,HD
Airtel,SB,OTT-Max,NUID-SB-001570,OTT
Huawei,SB,SBX-100,NUID-SB-001571,HD
ZTE,SB,SBX-200,NUID-SB-001572,OTT
Nokia,SB,SB-Pro,NUID-SB-001573,HD
Skyworth,SB,VisionBox,NUID-SB-001574,OTT
Airtel,SB,OTT-Max,NUID-SB-001575,HD
Huawei,SB,SBX-100,NUID-SB-001576,OTT
ZTE,SB,SBX-200,NUID-SB-001577,HD
Nokia,SB,SB-Pro,NUID-SB-001578,OTT
Skyworth,SB,VisionBox,NUID-SB-001579,HD
Airtel,SB,OTT-Max,NUID-SB-001580,OTT
Huawei,SB,SBX-100,NUID-SB-001581,HD
ZTE,SB,SBX-200,NUID-SB-001582,OTT
Nokia,SB,SB-Pro,NUID-SB-001583,HD
Skyworth,SB,VisionBox,NUID-SB-001584,OTT
Airtel,SB,OTT-Max,NUID-SB-001585,HD
Huawei,SB,SBX-100,NUID-SB-001586,OTT
ZTE,SB,SBX-200,NUID-SB-001587,HD
Nokia,SB,SB-Pro,NUID-SB-001588,OTT
Skyworth,SB,VisionBox,NUID-SB-001589,HD
Airtel,SB,OTT-Max,NUID-SB-001590,OTT
Huawei,SB,SBX-100,NUID-SB-001591,HD
ZTE,SB,SBX-200,NUID-SB-001592,OTT
Nokia,SB,SB-Pro,NUID-SB-001593,HD
Skyworth,SB,VisionBox,NUID-SB-001594,OTT
Airtel,SB,OTT-Max,NUID-SB-001595,HD
Huawei,SB,SBX-100,NUID-SB-001596,OTT
ZTE,SB,SBX-200,NUID-SB-001597,HD
Nokia,SB,SB-Pro,NUID-SB-001598,OTT
Skyworth,SB,VisionBox,NUID-SB-001599,HD
Airtel,SB,OTT-Max,NUID-SB-001600,OTT
Huawei,SB,SBX-100,NUID-SB-001601,HD
ZTE,SB,SBX-200,NUID-SB-001602,OTT
Nokia,SB,SB-Pro,NUID-SB-001603,HD
Skyworth,SB,VisionBox,NUID-SB-001604,OTT
Airtel,SB,OTT-Max,NUID-SB-001605,HD
Huawei,SB,SBX-100,NUID-SB-001606,OTT
ZTE,SB,SBX-200,NUID-SB-001607,HD
Nokia,SB,SB-Pro,NUID-SB-001608,OTT
Skyworth,SB,VisionBox,NUID-SB-001609,HD
Airtel,SB,OTT-Max,NUID-SB-001610,OTT
Huawei,SB,SBX-100,NUID-SB-001611,HD
ZTE,SB,SBX-200,NUID-SB-001612,OTT
Nokia,SB,SB-Pro,NUID-SB-001613,HD
Skyworth,SB,VisionBox,NUID-SB-001614,OTT
Airtel,SB,OTT-Max,NUID-SB-001615,HD
Huawei,SB,SBX-100,NUID-SB-001616,OTT
ZTE,SB,SBX-200,NUID-SB-001617,HD
Nokia,SB,SB-Pro,NUID-SB-001618,OTT
Skyworth,SB,VisionBox,NUID-SB-001619,HD
Airtel,SB,OTT-Max,NUID-SB-001620,OTT
Huawei,SB,SBX-100,NUID-SB-001621,HD
ZTE,SB,SBX-200,NUID-SB-001622,OTT
Nokia,SB,SB-Pro,NUID-SB-001623,HD
Skyworth,SB,VisionBox,NUID-SB-001624,OTT
Airtel,SB,OTT-Max,NUID-SB-001625,HD
Huawei,SB,SBX-100,NUID-SB-001626,OTT
ZTE,SB,SBX-200,NUID-SB-001627,HD
Nokia,SB,SB-Pro,NUID-SB-001628,OTT
Skyworth,SB,VisionBox,NUID-SB-001629,HD
Airtel,SB,OTT-Max,NUID-SB-001630,OTT
Huawei,SB,SBX-100,NUID-SB-001631,HD
ZTE,SB,SBX-200,NUID-SB-001632,OTT
Nokia,SB,SB-Pro,NUID-SB-001633,HD
Skyworth,SB,VisionBox,NUID-SB-001634,OTT
Airtel,SB,OTT-Max,NUID-SB-001635,HD
Huawei,SB,SBX-100,NUID-SB-001636,OTT
ZTE,SB,SBX-200,NUID-SB-001637,HD
Nokia,SB,SB-Pro,NUID-SB-001638,OTT
Skyworth,SB,VisionBox,NUID-SB-001639,HD
Airtel,SB,OTT-Max,NUID-SB-001640,OTT
Huawei,SB,SBX-100,NUID-SB-001641,HD
ZTE,SB,SBX-200,NUID-SB-001642,OTT
Nokia,SB,SB-Pro,NUID-SB-001643,HD
Skyworth,SB,VisionBox,NUID-SB-001644,OTT
Airtel,SB,OTT-Max,NUID-SB-001645,HD
Huawei,SB,SBX-100,NUID-SB-001646,OTT
ZTE,SB,SBX-200,NUID-SB-001647,HD
Nokia,SB,SB-Pro,NUID-SB-001648,OTT
Skyworth,SB,VisionBox,NUID-SB-001649,HD
Airtel,SB,OTT-Max,NUID-SB-001650,OTT
Huawei,SB,SBX-100,NUID-SB-001651,HD
ZTE,SB,SBX-200,NUID-SB-001652,OTT
Nokia,SB,SB-Pro,NUID-SB-001653,HD
Skyworth,SB,VisionBox,NUID-SB-001654,OTT
Airtel,SB,OTT-Max,NUID-SB-001655,HD
Huawei,SB,SBX-100,NUID-SB-001656,OTT
ZTE,SB,SBX-200,NUID-SB-001657,HD
Nokia,SB,SB-Pro,NUID-SB-001658,OTT
Skyworth,SB,VisionBox,NUID-SB-001659,HD
Airtel,SB,OTT-Max,NUID-SB-001660,OTT
Huawei,SB,SBX-100,NUID-SB-001661,HD
ZTE,SB,SBX-200,NUID-SB-001662,OTT
Nokia,SB,SB-Pro,NUID-SB-001663,HD
Skyworth,SB,VisionBox,NUID-SB-001664,OTT
Airtel,SB,OTT-Max,NUID-SB-001665,HD
Huawei,SB,SBX-100,NUID-SB-001666,OTT
ZTE,SB,SBX-200,NUID-SB-001667,HD
Nokia,SB,SB-Pro,NUID-SB-001668,OTT
Skyworth,SB,VisionBox,NUID-SB-001669,HD
Airtel,SB,OTT-Max,NUID-SB-001670,OTT
Huawei,SB,SBX-100,NUID-SB-001671,HD
ZTE,SB,SBX-200,NUID-SB-001672,OTT
Nokia,SB,SB-Pro,NUID-SB-001673,HD
Skyworth,SB,VisionBox,NUID-SB-001674,OTT
Airtel,SB,OTT-Max,NUID-SB-001675,HD
Huawei,SB,SBX-100,NUID-SB-001676,OTT
ZTE,SB,SBX-200,NUID-SB-001677,HD
Nokia,SB,SB-Pro,NUID-SB-001678,OTT
Skyworth,SB,VisionBox,NUID-SB-001679,HD
Airtel,SB,OTT-Max,NUID-SB-001680,OTT
Huawei,SB,SBX-100,NUID-SB-001681,HD
ZTE,SB,SBX-200,NUID-SB-001682,OTT
Nokia,SB,SB-Pro,NUID-SB-001683,HD
Skyworth,SB,VisionBox,NUID-SB-001684,OTT
Airtel,SB,OTT-Max,NUID-SB-001685,HD
Huawei,SB,SBX-100,NUID-SB-001686,OTT
ZTE,SB,SBX-200,NUID-SB-001687,HD
Nokia,SB,SB-Pro,NUID-SB-001688,OTT
Skyworth,SB,VisionBox,NUID-SB-001689,HD
Airtel,SB,OTT-Max,NUID-SB-001690,OTT
Huawei,SB,SBX-100,NUID-SB-001691,HD
ZTE,SB,SBX-200,NUID-SB-001692,OTT
Nokia,SB,SB-Pro,NUID-SB-001693,HD
Skyworth,SB,VisionBox,NUID-SB-001694,OTT
Airtel,SB,OTT-Max,NUID-SB-001695,HD
Huawei,SB,SBX-100,NUID-SB-001696,OTT
ZTE,SB,SBX-200,NUID-SB-001697,HD
Nokia,SB,SB-Pro,NUID-SB-001698,OTT
Skyworth,SB,VisionBox,NUID-SB-001699,HD
Airtel,SB,OTT-Max,NUID-SB-001700,OTT
Huawei,SB,SBX-100,NUID-SB-001701,HD
ZTE,SB,SBX-200,NUID-SB-001702,OTT
Nokia,SB,SB-Pro,NUID-SB-001703,HD
Skyworth,SB,VisionBox,NUID-SB-001704,OTT
Airtel,SB,OTT-Max,NUID-SB-001705,HD
Huawei,SB,SBX-100,NUID-SB-001706,OTT
ZTE,SB,SBX-200,NUID-SB-001707,HD
Nokia,SB,SB-Pro,NUID-SB-001708,OTT
Skyworth,SB,VisionBox,NUID-SB-001709,HD
Airtel,SB,OTT-Max,NUID-SB-001710,OTT
Huawei,SB,SBX-100,NUID-SB-001711,HD
ZTE,SB,SBX-200,NUID-SB-001712,OTT
Nokia,SB,SB-Pro,NUID-SB-001713,HD
Skyworth,SB,VisionBox,NUID-SB-001714,OTT
Airtel,SB,OTT-Max,NUID-SB-001715,HD
Huawei,SB,SBX-100,NUID-SB-001716,OTT
ZTE,SB,SBX-200,NUID-SB-001717,HD
Nokia,SB,SB-Pro,NUID-SB-001718,OTT
Skyworth,SB,VisionBox,NUID-SB-001719,HD
Airtel,SB,OTT-Max,NUID-SB-001720,OTT
Huawei,SB,SBX-100,NUID-SB-001721,HD
ZTE,SB,SBX-200,NUID-SB-001722,OTT
Nokia,SB,SB-Pro,NUID-SB-001723,HD
Skyworth,SB,VisionBox,NUID-SB-001724,OTT
Airtel,SB,OTT-Max,NUID-SB-001725,HD
Huawei,SB,SBX-100,NUID-SB-001726,OTT
ZTE,SB,SBX-200,NUID-SB-001727,HD
Nokia,SB,SB-Pro,NUID-SB-001728,OTT
Skyworth,SB,VisionBox,NUID-SB-001729,HD
Airtel,SB,OTT-Max,NUID-SB-001730,OTT
Huawei,SB,SBX-100,NUID-SB-001731,HD
ZTE,SB,SBX-200,NUID-SB-001732,OTT
Nokia,SB,SB-Pro,NUID-SB-001733,HD
Skyworth,SB,VisionBox,NUID-SB-001734,OTT
Airtel,SB,OTT-Max,NUID-SB-001735,HD
Huawei,SB,SBX-100,NUID-SB-001736,OTT
ZTE,SB,SBX-200,NUID-SB-001737,HD
Nokia,SB,SB-Pro,NUID-SB-001738,OTT
Skyworth,SB,VisionBox,NUID-SB-001739,HD
Airtel,SB,OTT-Max,NUID-SB-001740,OTT
Huawei,SB,SBX-100,NUID-SB-001741,HD
ZTE,SB,SBX-200,NUID-SB-001742,OTT
Nokia,SB,SB-Pro,NUID-SB-001743,HD
Skyworth,SB,VisionBox,NUID-SB-001744,OTT
Airtel,SB,OTT-Max,NUID-SB-001745,HD
Huawei,SB,SBX-100,NUID-SB-001746,OTT
ZTE,SB,SBX-200,NUID-SB-001747,HD
Nokia,SB,SB-Pro,NUID-SB-001748,OTT
Skyworth,SB,VisionBox,NUID-SB-001749,HD
Airtel,SB,OTT-Max,NUID-SB-001750,OTT
Huawei,SB,SBX-100,NUID-SB-001751,HD
ZTE,SB,SBX-200,NUID-SB-001752,OTT
Nokia,SB,SB-Pro,NUID-SB-001753,HD
Skyworth,SB,VisionBox,NUID-SB-001754,OTT
Airtel,SB,OTT-Max,NUID-SB-001755,HD
Huawei,SB,SBX-100,NUID-SB-001756,OTT
ZTE,SB,SBX-200,NUID-SB-001757,HD
Nokia,SB,SB-Pro,NUID-SB-001758,OTT
Skyworth,SB,VisionBox,NUID-SB-001759,HD
Airtel,SB,OTT-Max,NUID-SB-001760,OTT
Huawei,SB,SBX-100,NUID-SB-001761,HD
ZTE,SB,SBX-200,NUID-SB-001762,OTT
Nokia,SB,SB-Pro,NUID-SB-001763,HD
Skyworth,SB,VisionBox,NUID-SB-001764,OTT
Airtel,SB,OTT-Max,NUID-SB-001765,HD
Huawei,SB,SBX-100,NUID-SB-001766,OTT
ZTE,SB,SBX-200,NUID-SB-001767,HD
Nokia,SB,SB-Pro,NUID-SB-001768,OTT
Skyworth,SB,VisionBox,NUID-SB-001769,HD
Airtel,SB,OTT-Max,NUID-SB-001770,OTT
Huawei,SB,SBX-100,NUID-SB-001771,HD
ZTE,SB,SBX-200,NUID-SB-001772,OTT
Nokia,SB,SB-Pro,NUID-SB-001773,HD
Skyworth,SB,VisionBox,NUID-SB-001774,OTT
Airtel,SB,OTT-Max,NUID-SB-001775,HD
Huawei,SB,SBX-100,NUID-SB-001776,OTT
ZTE,SB,SBX-200,NUID-SB-001777,HD
Nokia,SB,SB-Pro,NUID-SB-001778,OTT
Skyworth,SB,VisionBox,NUID-SB-001779,HD
Airtel,SB,OTT-Max,NUID-SB-001780,OTT
Huawei,SB,SBX-100,NUID-SB-001781,HD
ZTE,SB,SBX-200,NUID-SB-001782,OTT
Nokia,SB,SB-Pro,NUID-SB-001783,HD
Skyworth,SB,VisionBox,NUID-SB-001784,OTT
Airtel,SB,OTT-Max,NUID-SB-001785,HD
Huawei,SB,SBX-100,NUID-SB-001786,OTT
ZTE,SB,SBX-200,NUID-SB-001787,HD
Nokia,SB,SB-Pro,NUID-SB-001788,OTT
Skyworth,SB,VisionBox,NUID-SB-001789,HD
Airtel,SB,OTT-Max,NUID-SB-001790,OTT
Huawei,SB,SBX-100,NUID-SB-001791,HD
ZTE,SB,SBX-200,NUID-SB-001792,OTT
Nokia,SB,SB-Pro,NUID-SB-001793,HD
Skyworth,SB,VisionBox,NUID-SB-001794,OTT
Airtel,SB,OTT-Max,NUID-SB-001795,HD
Huawei,SB,SBX-100,NUID-SB-001796,OTT
ZTE,SB,SBX-200,NUID-SB-001797,HD
Nokia,SB,SB-Pro,NUID-SB-001798,OTT
Skyworth,SB,VisionBox,NUID-SB-001799,HD
Airtel,SB,OTT-Max,NUID-SB-001800,OTT
Huawei,SB,SBX-100,NUID-SB-001801,HD
ZTE,SB,SBX-200,NUID-SB-001802,OTT
Nokia,SB,SB-Pro,NUID-SB-001803,HD
Skyworth,SB,VisionBox,NUID-SB-001804,OTT
Airtel,SB,OTT-Max,NUID-SB-001805,HD
Huawei,SB,SBX-100,NUID-SB-001806,OTT
ZTE,SB,SBX-200,NUID-SB-001807,HD
Nokia,SB,SB-Pro,NUID-SB-001808,OTT
Skyworth,SB,VisionBox,NUID-SB-001809,HD
Airtel,SB,OTT-Max,NUID-SB-001810,OTT
Huawei,SB,SBX-100,NUID-SB-001811,HD
ZTE,SB,SBX-200,NUID-SB-001812,OTT
Nokia,SB,SB-Pro,NUID-SB-001813,HD
Skyworth,SB,VisionBox,NUID-SB-001814,OTT
Airtel,SB,OTT-Max,NUID-SB-001815,HD
Huawei,SB,SBX-100,NUID-SB-001816,OTT
ZTE,SB,SBX-200,NUID-SB-001817,HD
Nokia,SB,SB-Pro,NUID-SB-001818,OTT
Skyworth,SB,VisionBox,NUID-SB-001819,HD
Airtel,SB,OTT-Max,NUID-SB-001820,OTT
Huawei,SB,SBX-100,NUID-SB-001821,HD
ZTE,SB,SBX-200,NUID-SB-001822,OTT
Nokia,SB,SB-Pro,NUID-SB-001823,HD
Skyworth,SB,VisionBox,NUID-SB-001824,OTT
Airtel,SB,OTT-Max,NUID-SB-001825,HD
Huawei,SB,SBX-100,NUID-SB-001826,OTT
ZTE,SB,SBX-200,NUID-SB-001827,HD
Nokia,SB,SB-Pro,NUID-SB-001828,OTT
Skyworth,SB,VisionBox,NUID-SB-001829,HD
Airtel,SB,OTT-Max,NUID-SB-001830,OTT
Huawei,SB,SBX-100,NUID-SB-001831,HD
ZTE,SB,SBX-200,NUID-SB-001832,OTT
Nokia,SB,SB-Pro,NUID-SB-001833,HD
Skyworth,SB,VisionBox,NUID-SB-001834,OTT
Airtel,SB,OTT-Max,NUID-SB-001835,HD
Huawei,SB,SBX-100,NUID-SB-001836,OTT
ZTE,SB,SBX-200,NUID-SB-001837,HD
Nokia,SB,SB-Pro,NUID-SB-001838,OTT
Skyworth,SB,VisionBox,NUID-SB-001839,HD
Airtel,SB,OTT-Max,NUID-SB-001840,OTT
Huawei,SB,SBX-100,NUID-SB-001841,HD
ZTE,SB,SBX-200,NUID-SB-001842,OTT
Nokia,SB,SB-Pro,NUID-SB-001843,HD
Skyworth,SB,VisionBox,NUID-SB-001844,OTT
Airtel,SB,OTT-Max,NUID-SB-001845,HD
Huawei,SB,SBX-100,NUID-SB-001846,OTT
ZTE,SB,SBX-200,NUID-SB-001847,HD
Nokia,SB,SB-Pro,NUID-SB-001848,OTT
Skyworth,SB,VisionBox,NUID-SB-001849,HD
Airtel,SB,OTT-Max,NUID-SB-001850,OTT
Huawei,SB,SBX-100,NUID-SB-001851,HD
ZTE,SB,SBX-200,NUID-SB-001852,OTT
Nokia,SB,SB-Pro,NUID-SB-001853,HD
Skyworth,SB,VisionBox,NUID-SB-001854,OTT
Airtel,SB,OTT-Max,NUID-SB-001855,HD
Huawei,SB,SBX-100,NUID-SB-001856,OTT
ZTE,SB,SBX-200,NUID-SB-001857,HD
Nokia,SB,SB-Pro,NUID-SB-001858,OTT
Skyworth,SB,VisionBox,NUID-SB-001859,HD
Airtel,SB,OTT-Max,NUID-SB-001860,OTT
Huawei,SB,SBX-100,NUID-SB-001861,HD
ZTE,SB,SBX-200,NUID-SB-001862,OTT
Nokia,SB,SB-Pro,NUID-SB-001863,HD
Skyworth,SB,VisionBox,NUID-SB-001864,OTT
Airtel,SB,OTT-Max,NUID-SB-001865,HD
Huawei,SB,SBX-100,NUID-SB-001866,OTT
ZTE,SB,SBX-200,NUID-SB-001867,HD
Nokia,SB,SB-Pro,NUID-SB-001868,OTT
Skyworth,SB,VisionBox,NUID-SB-001869,HD
Airtel,SB,OTT-Max,NUID-SB-001870,OTT
Huawei,SB,SBX-100,NUID-SB-001871,HD
ZTE,SB,SBX-200,NUID-SB-001872,OTT
Nokia,SB,SB-Pro,NUID-SB-001873,HD
Skyworth,SB,VisionBox,NUID-SB-001874,OTT
Airtel,SB,OTT-Max,NUID-SB-001875,HD
Huawei,SB,SBX-100,NUID-SB-001876,OTT
ZTE,SB,SBX-200,NUID-SB-001877,HD
Nokia,SB,SB-Pro,NUID-SB-001878,OTT
Skyworth,SB,VisionBox,NUID-SB-001879,HD
Airtel,SB,OTT-Max,NUID-SB-001880,OTT
Huawei,SB,SBX-100,NUID-SB-001881,HD
ZTE,SB,SBX-200,NUID-SB-001882,OTT
Nokia,SB,SB-Pro,NUID-SB-001883,HD
Skyworth,SB,VisionBox,NUID-SB-001884,OTT
Airtel,SB,OTT-Max,NUID-SB-001885,HD
Huawei,SB,SBX-100,NUID-SB-001886,OTT
ZTE,SB,SBX-200,NUID-SB-001887,HD
Nokia,SB,SB-Pro,NUID-SB-001888,OTT
Skyworth,SB,VisionBox,NUID-SB-001889,HD
Airtel,SB,OTT-Max,NUID-SB-001890,OTT
Huawei,SB,SBX-100,NUID-SB-001891,HD
ZTE,SB,SBX-200,NUID-SB-001892,OTT
Nokia,SB,SB-Pro,NUID-SB-001893,HD
Skyworth,SB,VisionBox,NUID-SB-001894,OTT
Airtel,SB,OTT-Max,NUID-SB-001895,HD
Huawei,SB,SBX-100,NUID-SB-001896,OTT
ZTE,SB,SBX-200,NUID-SB-001897,HD
Nokia,SB,SB-Pro,NUID-SB-001898,OTT
Skyworth,SB,VisionBox,NUID-SB-001899,HD
Airtel,SB,OTT-Max,NUID-SB-001900,OTT
Huawei,SB,SBX-100,NUID-SB-001901,HD
ZTE,SB,SBX-200,NUID-SB-001902,OTT
Nokia,SB,SB-Pro,NUID-SB-001903,HD
Skyworth,SB,VisionBox,NUID-SB-001904,OTT
Airtel,SB,OTT-Max,NUID-SB-001905,HD
Huawei,SB,SBX-100,NUID-SB-001906,OTT
ZTE,SB,SBX-200,NUID-SB-001907,HD
Nokia,SB,SB-Pro,NUID-SB-001908,OTT
Skyworth,SB,VisionBox,NUID-SB-001909,HD
Airtel,SB,OTT-Max,NUID-SB-001910,OTT
Huawei,SB,SBX-100,NUID-SB-001911,HD
ZTE,SB,SBX-200,NUID-SB-001912,OTT
Nokia,SB,SB-Pro,NUID-SB-001913,HD
Skyworth,SB,VisionBox,NUID-SB-001914,OTT
Airtel,SB,OTT-Max,NUID-SB-001915,HD
Huawei,SB,SBX-100,NUID-SB-001916,OTT
ZTE,SB,SBX-200,NUID-SB-001917,HD
Nokia,SB,SB-Pro,NUID-SB-001918,OTT
Skyworth,SB,VisionBox,NUID-SB-001919,HD
Airtel,SB,OTT-Max,NUID-SB-001920,OTT
Huawei,SB,SBX-100,NUID-SB-001921,HD
ZTE,SB,SBX-200,NUID-SB-001922,OTT
Nokia,SB,SB-Pro,NUID-SB-001923,HD
Skyworth,SB,VisionBox,NUID-SB-001924,OTT
Airtel,SB,OTT-Max,NUID-SB-001925,HD
Huawei,SB,SBX-100,NUID-SB-001926,OTT
ZTE,SB,SBX-200,NUID-SB-001927,HD
Nokia,SB,SB-Pro,NUID-SB-001928,OTT
Skyworth,SB,VisionBox,NUID-SB-001929,HD
Airtel,SB,OTT-Max,NUID-SB-001930,OTT
Huawei,SB,SBX-100,NUID-SB-001931,HD
ZTE,SB,SBX-200,NUID-SB-001932,OTT
Nokia,SB,SB-Pro,NUID-SB-001933,HD
Skyworth,SB,VisionBox,NUID-SB-001934,OTT
Airtel,SB,OTT-Max,NUID-SB-001935,HD
Huawei,SB,SBX-100,NUID-SB-001936,OTT
ZTE,SB,SBX-200,NUID-SB-001937,HD
Nokia,SB,SB-Pro,NUID-SB-001938,OTT
Skyworth,SB,VisionBox,NUID-SB-001939,HD
Airtel,SB,OTT-Max,NUID-SB-001940,OTT
Huawei,SB,SBX-100,NUID-SB-001941,HD
ZTE,SB,SBX-200,NUID-SB-001942,OTT
Nokia,SB,SB-Pro,NUID-SB-001943,HD
Skyworth,SB,VisionBox,NUID-SB-001944,OTT
Airtel,SB,OTT-Max,NUID-SB-001945,HD
Huawei,SB,SBX-100,NUID-SB-001946,OTT
ZTE,SB,SBX-200,NUID-SB-001947,HD
Nokia,SB,SB-Pro,NUID-SB-001948,OTT
Skyworth,SB,VisionBox,NUID-SB-001949,HD
Airtel,SB,OTT-Max,NUID-SB-001950,OTT
Huawei,SB,SBX-100,NUID-SB-001951,HD
ZTE,SB,SBX-200,NUID-SB-001952,OTT
Nokia,SB,SB-Pro,NUID-SB-001953,HD
Skyworth,SB,VisionBox,NUID-SB-001954,OTT
Airtel,SB,OTT-Max,NUID-SB-001955,HD
Huawei,SB,SBX-100,NUID-SB-001956,OTT
ZTE,SB,SBX-200,NUID-SB-001957,HD
Nokia,SB,SB-Pro,NUID-SB-001958,OTT
Skyworth,SB,VisionBox,NUID-SB-001959,HD
Airtel,SB,OTT-Max,NUID-SB-001960,OTT
Huawei,SB,SBX-100,NUID-SB-001961,HD
ZTE,SB,SBX-200,NUID-SB-001962,OTT
Nokia,SB,SB-Pro,NUID-SB-001963,HD
Skyworth,SB,VisionBox,NUID-SB-001964,OTT
Airtel,SB,OTT-Max,NUID-SB-001965,HD
Huawei,SB,SBX-100,NUID-SB-001966,OTT
ZTE,SB,SBX-200,NUID-SB-001967,HD
Nokia,SB,SB-Pro,NUID-SB-001968,OTT
Skyworth,SB,VisionBox,NUID-SB-001969,HD
Airtel,SB,OTT-Max,NUID-SB-001970,OTT
Huawei,SB,SBX-100,NUID-SB-001971,HD
ZTE,SB,SBX-200,NUID-SB-001972,OTT
Nokia,SB,SB-Pro,NUID-SB-001973,HD
Skyworth,SB,VisionBox,NUID-SB-001974,OTT
Airtel,SB,OTT-Max,NUID-SB-001975,HD
Huawei,SB,SBX-100,NUID-SB-001976,OTT
ZTE,SB,SBX-200,NUID-SB-001977,HD
Nokia,SB,SB-Pro,NUID-SB-001978,OTT
Skyworth,SB,VisionBox,NUID-SB-001979,HD
Airtel,SB,OTT-Max,NUID-SB-001980,OTT
Huawei,SB,SBX-100,NUID-SB-001981,HD
ZTE,SB,SBX-200,NUID-SB-001982,OTT
Nokia,SB,SB-Pro,NUID-SB-001983,HD
Skyworth,SB,VisionBox,NUID-SB-001984,OTT
Airtel,SB,OTT-Max,NUID-SB-001985,HD
Huawei,SB,SBX-100,NUID-SB-001986,OTT
ZTE,SB,SBX-200,NUID-SB-001987,HD
Nokia,SB,SB-Pro,NUID-SB-001988,OTT
